id,EmployeeID,department_id,level_id,Job_Profile,Compensation,Bonus_%
4325,100264,d004,6O0MT2,JP_1035,"75,000.00",0.1
2613,100265,d005,KSETO3,JP_1038,"110,000.00",0.15
2614,100266,d005,KSETO3,JP_1038,"110,000.00",0.15
2615,100267,d005,KSETO3,JP_1038,"110,000.00",0.15
2616,100268,d005,KSETO3,JP_1038,"110,000.00",0.15
3687,100269,d005,2Q35MD,JP_1039,"200,000.00",0.2
360,100270,d004,KSETO3,JP_1029,"85,000.00",0.15
4447,100271,d001,KSETO3,JP_1009,"85,000.00",0.15
1486,100272,d001,KSETO3,JP_1002,"65,000.00",0.15
2353,100273,d005,KSETO3,JP_1037,"80,000.00",0.15
1771,100274,d002,9OLSAT,JP_1018,,0.15
2308,100275,d003,KSETO3,JP_1024,"85,000.00",0.15
3964,100276,d005,9OLSAT,JP_1040,"140,000.00",0.15
361,100277,d004,KSETO3,JP_1029,"85,000.00",0.15
1653,100278,d001,KSETO3,JP_1004,"70,000.00",0.15
4470,100279,d001,KSETO3,JP_1010,"70,000.00",0.15
2617,100280,d005,KSETO3,JP_1038,"110,000.00",0.15
3965,100281,d005,9OLSAT,JP_1040,"140,000.00",0.15
2618,100282,d005,KSETO3,JP_1038,"110,000.00",0.15
1522,100283,d004,ZO9DQZ,JP_1032,"120,000.00",0.2
101,100284,d002,KSETO3,JP_1015,"55,000.00",0.15
1523,100285,d004,ZO9DQZ,JP_1032,"120,000.00",0.2
3966,100286,d005,9OLSAT,JP_1040,"140,000.00",0.15
3967,100287,d005,9OLSAT,JP_1040,"140,000.00",0.15
3688,100288,d005,2Q35MD,JP_1039,"200,000.00",0.2
1524,100289,d004,ZO9DQZ,JP_1032,"120,000.00",0.2
784,100290,d002,KSETO3,JP_1016,"70,000.00",0.15
2619,100291,d005,KSETO3,JP_1038,"110,000.00",0.15
2620,100292,d005,KSETO3,JP_1038,"110,000.00",0.15
2621,100293,d005,KSETO3,JP_1038,"110,000.00",0.15
2040,100294,d004,9OLSAT,JP_1034,"95,000.00",0.15
39,100295,d003,KSETO3,JP_1022,"75,000.00",0.15
3968,100296,d005,9OLSAT,JP_1040,"140,000.00",0.15
3689,100297,d005,2Q35MD,JP_1039,"200,000.00",0.2
2354,100298,d005,KSETO3,JP_1037,"80,000.00",0.15
2186,100299,d003,KSETO3,JP_1023,"70,000.00",0.15
2622,100300,d005,KSETO3,JP_1038,"110,000.00",0.15
102,100301,d002,KSETO3,JP_1015,"55,000.00",0.15
362,100302,d004,KSETO3,JP_1029,"85,000.00",0.15
3573,100303,d001,KSETO3,JP_1008,"55,000.00",0.15
3969,100304,d005,9OLSAT,JP_1040,"140,000.00",0.15
785,100305,d002,KSETO3,JP_1016,"70,000.00",0.15
4575,100306,d003,6O0MT2,JP_1025,"120,000.00",0.1
4719,100307,d001,FFK1HB,JP_1012,"225,000.00",0.3
103,100308,d002,KSETO3,JP_1015,"55,000.00",0.15
2623,100309,d005,KSETO3,JP_1038,"110,000.00",0.15
3574,100310,d001,KSETO3,JP_1008,"55,000.00",0.15
104,100311,d002,KSETO3,JP_1015,"55,000.00",0.15
2624,100312,d005,KSETO3,JP_1038,"110,000.00",0.15
4504,100313,d005,FFK1HB,JP_1041,"325,000.00",0.3
3970,100314,d005,9OLSAT,JP_1040,"140,000.00",0.15
2625,100315,d005,KSETO3,JP_1038,"110,000.00",0.15
363,100316,d004,KSETO3,JP_1029,"85,000.00",0.15
2626,100317,d005,KSETO3,JP_1038,"110,000.00",0.15
2627,100318,d005,KSETO3,JP_1038,"110,000.00",0.15
3971,100319,d005,9OLSAT,JP_1040,"140,000.00",0.15
4775,100320,d001,KSETO3,JP_1013,"75,000.00",0.15
3,100321,d001,ZO9DQZ,JP_1001,,0.2
1654,100322,d001,KSETO3,JP_1004,"70,000.00",0.15
3972,100323,d005,9OLSAT,JP_1040,"140,000.00",0.15
786,100324,d002,KSETO3,JP_1016,"70,000.00",0.15
1525,100325,d004,ZO9DQZ,JP_1032,"120,000.00",0.2
364,100326,d004,KSETO3,JP_1029,"85,000.00",0.15
2628,100327,d005,KSETO3,JP_1038,"110,000.00",0.15
2629,100328,d005,KSETO3,JP_1038,"110,000.00",0.15
3973,100329,d005,9OLSAT,JP_1040,"140,000.00",0.15
365,100330,d004,KSETO3,JP_1029,"85,000.00",0.15
1928,100331,d002,ZO9DQZ,JP_1019,"85,000.00",0.2
2630,100332,d005,KSETO3,JP_1038,"110,000.00",0.15
4801,100333,d003,ZO9DQZ,JP_1027,"130,000.00",0.2
4326,100334,d004,6O0MT2,JP_1035,"75,000.00",0.1
2631,100335,d005,KSETO3,JP_1038,"110,000.00",0.15
2632,100336,d005,KSETO3,JP_1038,"110,000.00",0.15
2633,100337,d005,KSETO3,JP_1038,"110,000.00",0.15
3575,100338,d001,KSETO3,JP_1008,"55,000.00",0.15
4682,100339,d001,ZO9DQZ,JP_1011,"120,000.00",0.15
787,100340,d002,KSETO3,JP_1016,"70,000.00",0.15
3690,100341,d005,2Q35MD,JP_1039,"200,000.00",0.2
2634,100342,d005,KSETO3,JP_1038,"110,000.00",0.15
1929,100343,d002,ZO9DQZ,JP_1019,"85,000.00",0.2
3691,100344,d005,2Q35MD,JP_1039,"200,000.00",0.2
2635,100345,d005,KSETO3,JP_1038,"110,000.00",0.15
3692,100346,d005,2Q35MD,JP_1039,"200,000.00",0.2
4471,100347,d001,KSETO3,JP_1010,"70,000.00",0.15
2636,100348,d005,KSETO3,JP_1038,"110,000.00",0.15
366,100349,d004,KSETO3,JP_1029,"85,000.00",0.15
2187,100350,d003,KSETO3,JP_1023,"70,000.00",0.15
2188,100351,d003,KSETO3,JP_1023,"70,000.00",0.15
2637,100352,d005,KSETO3,JP_1038,"110,000.00",0.15
2638,100353,d005,KSETO3,JP_1038,"110,000.00",0.15
2639,100354,d005,KSETO3,JP_1038,"110,000.00",0.15
788,100355,d002,KSETO3,JP_1016,"70,000.00",0.15
2640,100356,d005,KSETO3,JP_1038,"110,000.00",0.15
3693,100357,d005,2Q35MD,JP_1039,"200,000.00",0.2
2641,100358,d005,KSETO3,JP_1038,"110,000.00",0.15
367,100359,d004,KSETO3,JP_1029,"85,000.00",0.15
2642,100360,d005,KSETO3,JP_1038,"110,000.00",0.15
2643,100361,d005,KSETO3,JP_1038,"110,000.00",0.15
2644,100362,d005,KSETO3,JP_1038,"110,000.00",0.15
368,100363,d004,KSETO3,JP_1029,"85,000.00",0.15
1353,100364,d004,2Q35MD,JP_1030,"175,000.00",0.2
4505,100365,d005,FFK1HB,JP_1041,"325,000.00",0.3
1772,100366,d002,9OLSAT,JP_1018,,0.15
4776,100367,d001,KSETO3,JP_1013,"75,000.00",0.15
3974,100368,d005,9OLSAT,JP_1040,"140,000.00",0.15
1526,100369,d004,ZO9DQZ,JP_1032,"120,000.00",0.2
1410,100370,d004,ZO9DQZ,JP_1031,"140,000.00",0.2
3975,100371,d005,9OLSAT,JP_1040,"140,000.00",0.15
2645,100372,d005,KSETO3,JP_1038,"110,000.00",0.15
4576,100373,d003,6O0MT2,JP_1025,"120,000.00",0.1
105,100374,d002,KSETO3,JP_1015,"55,000.00",0.15
2646,100375,d005,KSETO3,JP_1038,"110,000.00",0.15
3694,100376,d005,2Q35MD,JP_1039,"200,000.00",0.2
2647,100377,d005,KSETO3,JP_1038,"110,000.00",0.15
2648,100378,d005,KSETO3,JP_1038,"110,000.00",0.15
106,100379,d002,KSETO3,JP_1015,"55,000.00",0.15
369,100380,d004,KSETO3,JP_1029,"85,000.00",0.15
789,100381,d002,KSETO3,JP_1016,"70,000.00",0.15
2649,100382,d005,KSETO3,JP_1038,"110,000.00",0.15
3976,100383,d005,9OLSAT,JP_1040,"140,000.00",0.15
1773,100384,d002,9OLSAT,JP_1018,,0.15
3977,100385,d005,9OLSAT,JP_1040,"140,000.00",0.15
2650,100386,d005,KSETO3,JP_1038,"110,000.00",0.15
3695,100387,d005,2Q35MD,JP_1039,"200,000.00",0.2
2355,100388,d005,KSETO3,JP_1037,"80,000.00",0.15
790,100389,d002,KSETO3,JP_1016,"70,000.00",0.15
1527,100390,d004,ZO9DQZ,JP_1032,"120,000.00",0.2
370,100391,d004,KSETO3,JP_1029,"85,000.00",0.15
4327,100392,d004,6O0MT2,JP_1035,"75,000.00",0.1
3978,100393,d005,9OLSAT,JP_1040,"140,000.00",0.15
3979,100394,d005,9OLSAT,JP_1040,"140,000.00",0.15
2651,100395,d005,KSETO3,JP_1038,"110,000.00",0.15
2652,100396,d005,KSETO3,JP_1038,"110,000.00",0.15
4328,100397,d004,6O0MT2,JP_1035,"75,000.00",0.1
791,100398,d002,KSETO3,JP_1016,"70,000.00",0.15
1930,100399,d002,ZO9DQZ,JP_1019,"85,000.00",0.2
3980,100400,d005,9OLSAT,JP_1040,"140,000.00",0.15
3696,100401,d005,2Q35MD,JP_1039,"200,000.00",0.2
2653,100402,d005,KSETO3,JP_1038,"110,000.00",0.15
4,100403,d001,ZO9DQZ,JP_1001,,0.2
1774,100404,d002,9OLSAT,JP_1018,,0.15
371,100405,d004,KSETO3,JP_1029,"85,000.00",0.15
372,100406,d004,KSETO3,JP_1029,"85,000.00",0.15
107,100407,d002,KSETO3,JP_1015,"55,000.00",0.15
2654,100408,d005,KSETO3,JP_1038,"110,000.00",0.15
3981,100409,d005,9OLSAT,JP_1040,"140,000.00",0.15
2655,100410,d005,KSETO3,JP_1038,"110,000.00",0.15
2656,100411,d005,KSETO3,JP_1038,"110,000.00",0.15
792,100412,d002,KSETO3,JP_1016,"70,000.00",0.15
373,100413,d004,KSETO3,JP_1029,"85,000.00",0.15
374,100414,d004,KSETO3,JP_1029,"85,000.00",0.15
4737,100415,d002,2Q35MD,JP_1021,"160,000.00",0.2
4329,100416,d004,6O0MT2,JP_1035,"75,000.00",0.1
3982,100417,d005,9OLSAT,JP_1040,"140,000.00",0.15
3983,100418,d005,9OLSAT,JP_1040,"140,000.00",0.15
1931,100419,d002,ZO9DQZ,JP_1019,"85,000.00",0.2
2657,100420,d005,KSETO3,JP_1038,"110,000.00",0.15
3697,100421,d005,2Q35MD,JP_1039,"200,000.00",0.2
3576,100422,d001,KSETO3,JP_1008,"55,000.00",0.15
1775,100423,d002,9OLSAT,JP_1018,,0.15
1655,100424,d001,KSETO3,JP_1004,"70,000.00",0.15
4577,100425,d003,6O0MT2,JP_1025,"120,000.00",0.1
375,100426,d004,KSETO3,JP_1029,"85,000.00",0.15
4869,100427,d001,KSETO3,JP_1014,"65,000.00",0.15
108,100428,d002,KSETO3,JP_1015,"55,000.00",0.15
376,100429,d004,KSETO3,JP_1029,"85,000.00",0.15
4506,100430,d005,FFK1HB,JP_1041,"325,000.00",0.3
3698,100431,d005,2Q35MD,JP_1039,"200,000.00",0.2
4507,100432,d005,FFK1HB,JP_1041,"325,000.00",0.3
3699,100433,d005,2Q35MD,JP_1039,"200,000.00",0.2
3700,100434,d005,2Q35MD,JP_1039,"200,000.00",0.2
